last_name,first_name,middle_name,suffix,nickname,full_name,birthday,gender,type,state,district,senate_class,party,url,address,phone,contact_form,rss_url,twitter,twitter_id,facebook,youtube,youtube_id,mastodon,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
Cantwell,Maria,,,,Maria Cantwell,1958-10-13,F,sen,WA,,1.0,Democrat,https://www.cantwell.senate.gov,511 Hart Senate Office Building Washington DC 20510,202-224-3441,https://www.cantwell.senate.gov/public/index.cfm/email-maria,http://www.cantwell.senate.gov/public/index.cfm/rss/feed,SenatorCantwell,117501995.0,senatorcantwell,SenatorCantwell,UCN52UDqKgvHRk39ncySrIMw,,C000127,172.0,N00007836,S275,"S8WA00194,H2WA01054",26137.0,300018,27122.0,Maria Cantwell,,39310.0,Maria Cantwell
Klobuchar,Amy,Jean,,,Amy Klobuchar,1960-05-25,F,sen,MN,,1.0,Democrat,https://www.klobuchar.senate.gov,425 Dirksen Senate Office Building Washington DC 20510,202-224-3244,https://www.klobuchar.senate.gov/public/index.cfm/contact,,SenAmyKlobuchar,22044727.0,,senatorklobuchar,UCvdeJsDsV51tFb_hVqvtYGA,,K000367,1826.0,N00027500,S311,S6MN00267,83701.0,412242,65092.0,Amy Klobuchar,,40700.0,Amy Klobuchar
Sanders,Bernard,,,Bernie,Bernard Sanders,1941-09-08,M,sen,VT,,1.0,Independent,https://www.sanders.senate.gov,332 Dirksen Senate Office Building Washington DC 20510,202-224-5141,https://www.sanders.senate.gov/contact/,http://www.sanders.senate.gov/rss/,SenSanders,29442313.0,senatorsanders,senatorsanders,UCD_DaKNac0Ta-2PeHuoQ1uA,,S000033,1010.0,N00000528,S313,"H8VT01016,S4VT00033",994.0,400357,27110.0,Bernie Sanders,,29147.0,Bernie Sanders
Whitehouse,Sheldon,,,,Sheldon Whitehouse,1955-10-20,M,sen,RI,,1.0,Democrat,https://www.whitehouse.senate.gov,530 Hart Senate Office Building Washington DC 20510,202-224-2921,https://www.whitehouse.senate.gov/contact/email-sheldon,http://www.whitehouse.senate.gov/rss/feeds/?type=all&amp;cachebuster=1,SenWhitehouse,242555999.0,SenatorWhitehouse,SenatorWhitehouse,UCnG0N70SNBkNqvIMLodPTIA,,W000802,1823.0,N00027533,S316,S6RI00221,92235.0,412247,2572.0,Sheldon Whitehouse,,40704.0,Sheldon Whitehouse
Barrasso,John,A.,,,John Barrasso,1952-07-21,M,sen,WY,,1.0,Republican,https://www.barrasso.senate.gov,307 Dirksen Senate Office Building Washington DC 20510,202-224-6441,https://www.barrasso.senate.gov/public/index.cfm/contact-form,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=Rss.Feed,SenJohnBarrasso,202206694.0,johnbarrasso,barrassowyo,UC80PfiCAB2Fe1MFayWlR6GQ,,B001261,1881.0,N00006236,S317,S6WY00068,1024777.0,412251,52662.0,John Barrasso,,40707.0,John Barrasso
Wicker,Roger,F.,,,Roger F. Wicker,1951-07-05,M,sen,MS,,1.0,Republican,https://www.wicker.senate.gov,425 Russell Senate Office Building Washington DC 20510,202-224-6253,https://www.wicker.senate.gov/public/index.cfm/contact,,SenatorWicker,264219447.0,SenatorWicker,SenatorWicker,UCIlKHiTjSkcQP_knBcXHWSg,,W000437,1226.0,N00003280,S318,"H4MS01078,S8MS00196",18203.0,400432,21926.0,Roger Wicker,,29534.0,Roger Wicker
Collins,Susan,M.,,,Susan M. Collins,1952-12-07,F,sen,ME,,2.0,Republican,https://www.collins.senate.gov,413 Dirksen Senate Office Building Washington DC 20510,202-224-2523,https://www.collins.senate.gov/contact,http://www.collins.senate.gov/public/?a=rss.feed,SenatorCollins,19726613.0,susancollins,SenatorSusanCollins,UC6GYaBx5kT2r4PN8KENxC-w,,C001035,1541.0,N00000491,S252,S6ME00159,45738.0,300025,379.0,Susan Collins,,49703.0,Susan Collins
Cornyn,John,,,,John Cornyn,1952-02-02,M,sen,TX,,2.0,Republican,https://www.cornyn.senate.gov,517 Hart Senate Office Building Washington DC 20510,202-224-2934,https://www.cornyn.senate.gov/contact,http://www.cornyn.senate.gov/public/?a=rss.feed,JohnCornyn,13218102.0,sen.johncornyn,senjohncornyn,UCyQwLQavlOaJ64YuY_VMtiQ,,C001056,1692.0,N00024852,S287,S2TX00106,93131.0,300027,15375.0,John Cornyn,,40305.0,John Cornyn
Durbin,Richard,J.,,,Richard J. Durbin,1944-11-21,M,sen,IL,,2.0,Democrat,https://www.durbin.senate.gov,711 Hart Senate Office Building Washington DC 20510,202-224-2152,https://www.durbin.senate.gov/contact/,http://durbin.senate.gov/public/index.cfm/rss/feed,SenatorDurbin,247334603.0,SenatorDurbin,SenatorDurbin,UCkbixlNCxcKAffEhe3X5-lw,,D000563,326.0,N00004981,S253,"S6IL00151,H2IL20026",6741.0,300038,26847.0,Dick Durbin,,15021.0,Dick Durbin
Graham,Lindsey,O.,,,Lindsey Graham,1955-07-09,M,sen,SC,,2.0,Republican,https://www.lgraham.senate.gov/public,211 Russell Senate Office Building Washington DC 20510,202-224-5972,https://www.lgraham.senate.gov/public/index.cfm/e-mail-senator-graham,http://www.lgraham.senate.gov/public/index.cfm?FuseAction=Rss.Feed,GrahamBlog,14845376.0,USSenatorLindseyGraham,USSenLindseyGraham,UClLGZMA5Ei2Z8fR1PLEx6yQ,,G000359,452.0,N00009975,S293,"S0SC00149,H4SC03087",36782.0,300047,21992.0,Lindsey Graham,,29566.0,Lindsey Graham
McConnell,Mitch,,,,Mitch McConnell,1942-02-20,M,sen,KY,,2.0,Republican,https://www.mcconnell.senate.gov,317 Russell Senate Office Building Washington DC 20510,202-224-2541,https://www.mcconnell.senate.gov/public/index.cfm?p=contact,http://www.mcconnell.senate.gov/public/?a=rss.feed,McConnellPress,339822881.0,mitchmcconnell,,,,M000355,1395.0,N00003389,S174,S2KY00012,2351.0,300072,53298.0,Mitch McConnell,,14921.0,Mitch McConnell
Merkley,Jeff,,,,Jeff Merkley,1956-10-24,M,sen,OR,,2.0,Democrat,https://www.merkley.senate.gov,531 Hart Senate Office Building Washington DC 20510,202-224-3753,https://www.merkley.senate.gov/contact/,http://www.merkley.senate.gov/rss/,SenJeffMerkley,29201047.0,jeffmerkley,SenatorJeffMerkley,UCRoXttCJhMnLVCxCaa6VnNQ,,M001176,1900.0,N00029303,S322,S8OR00207,1029842.0,412325,23644.0,Jeff Merkley,,40908.0,Jeff Merkley
Reed,John,F.,,Jack,Jack Reed,1949-11-12,M,sen,RI,,2.0,Democrat,https://www.reed.senate.gov,728 Hart Senate Office Building Washington DC 20510,202-224-4642,https://www.reed.senate.gov/contact/,https://www.reed.senate.gov//rss/feeds/?type=all,SenJackReed,486694111.0,SenJackReed,SenatorReed,UCT_aFVtsjxPwWKfO-PW_hPw,,R000122,949.0,N00000362,S259,"S6RI00163,H0RI02071",24239.0,300081,27060.0,Jack Reed,,29142.0,Jack Reed (Rhode Island politician)
Risch,James,E.,,,James E. Risch,1943-05-03,M,sen,ID,,2.0,Republican,https://www.risch.senate.gov,483 Russell Senate Office Building Washington DC 20510,202-224-2752,https://www.risch.senate.gov/public/index.cfm?p=Email,,SenatorRisch,1096059529.0,senatorjimrisch,SenatorJamesRisch,UCncKW8xyT5UbPNO27YuQnBA,,R000584,1896.0,N00029441,S323,S8ID00092,1020034.0,412322,2919.0,Jim Risch,,40902.0,Jim Risch
Shaheen,Jeanne,,,,Jeanne Shaheen,1947-01-28,F,sen,NH,,2.0,Democrat,https://www.shaheen.senate.gov,506 Hart Senate Office Building Washington DC 20510,202-224-2841,https://www.shaheen.senate.gov/contact/contact-jeanne,http://www.shaheen.senate.gov/rss/,SenatorShaheen,109287731.0,SenatorShaheen,senatorshaheen,UCjLZAZMbDrybHyttdEC9LFA,,S001181,1901.0,N00024790,S324,S0NH00219,22850.0,412323,1663.0,Jeanne Shaheen,,40906.0,Jeanne Shaheen
Warner,Mark,R.,,,Mark R. Warner,1954-12-15,M,sen,VA,,2.0,Democrat,https://www.warner.senate.gov,703 Hart Senate Office Building Washington DC 20510,202-224-2023,https://www.warner.senate.gov/public/index.cfm?p=Contact,http://www.warner.senate.gov/public/?a=rss.feed,MarkWarner,7429102.0,MarkRWarner,SenatorMarkWarner,UCwyivNlEGf4sGd1oDLfY5jw,,W000805,1897.0,N00002097,S327,"S6VA00093,P80003023",7630.0,412321,535.0,Mark Warner,,40909.0,Mark Warner
Gillibrand,Kirsten,E.,,,Kirsten E. Gillibrand,1966-12-09,F,sen,NY,,1.0,Democrat,https://www.gillibrand.senate.gov,478 Russell Senate Office Building Washington DC 20510,202-224-4451,https://www.gillibrand.senate.gov/contact/email-me,http://www.gillibrand.senate.gov/rss/,GillibrandNY,8.999786224166953e+17,SenKirstenGillibrand,KirstenEGillibrand,UCVEloQogVsmnkd5vxJInmYg,,G000555,1866.0,N00027658,S331,"H6NY20167,S0NY00410",1022862.0,412223,65147.0,Kirsten Gillibrand,,20735.0,Kirsten Gillibrand
